Text	Lang	Country by Zone	Country by Location	Drug	Annotated Text	Type of influence
if u a real friend bring me narcotics im over this ankle business they should have just cut it off and replaced it with a wheel or something	en	Pacific Time (US & Canada)	"Denton, TX"			friendship
"someone just message me asking me if i need a plug for weed, mdma, xan, acid, codeine ðŸ˜­"	en		backup			business
"Capping years of criticism, Purdue Pharma will stop promoting its opioid drugs to doctors"	en					business
does anyone have any morphine i can borrow once a month every month until I'm in my mid-to-late forties	en	Atlantic Time (Canada)	statesboring	social		business
I knkw sometime I be trippin but I just miss my niggas so I got codeine in my liver	en	Arizona	Batteries plus			frienship
Refusing to be complicit with legalized marijuana dispensaries see fewer opioid deaths.	en		DC & VT-2			social
"@cbrownx @ericbolling @realDonaldTrump I am truly sorry, I lost my brother to heroin."	en		"Houston, TX"			social
"THE FIRST DAY I TOOK TRAMADOL, I WAS IN MY HOUSE AND I WAS GETTING READY TO GO HOME 

COPIED"	en		"Abuja, nigeria"			social
@RepMattGaetz Thank You Matt! Medical Marijuana has so many benefits. stop Opioid  Prescriptions.	en					social
"@shelly2161 @CNN I know a mom who allocates the funds to her neighbors for food, in exchange for oxycodone."	en					social
weed boring now we doing fentanyl from now on	en		"Greensboro, NC"			social
someone bring me like 6 vicodin	en	Mountain Time (US & Canada)	FAG MOB			social
if you ever leave me baby leave some morphine at my doorðŸ¤™	en	Brasilia				social
LETS GET THE FUCKING HEROIN READY!!!!!! @Riquestradamus	en	Pacific Time (US & Canada)	Bay Area	social		ADR
@CNN We could make a lot more money selling heroin and cocaine. Why not do it?    Idiots.	en		"Tennessee, USA"	social		social
Thank dog for percocet... I'll be able to sleep tonight!	Mountain Time (US & Canada)	SLC	en			
